world	path	probL	probR	probU	probD	subject_node_path	ideal_value_L	ideal_value_R	ideal_value_U	ideal_value_D
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	0.031746031699999996	0.0	0.0	0.9682539683	N2990,N6103,N9806,N1938,N2636,N8197	12.517	None	None	11.897
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	0.1489361702	0.8297872340000001	0.021276595699999998	0.0	N2990,N6103,N9806,N943	13.621	12.931	13.138	None
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	0.0789473684	0.0	0.0	0.9210526316	N2990,N6103,N9806,N943,N7351	14.034	None	None	12.931
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	0.0	0.0	0.0	1.0	N2990,N6103,N9806,N1938,N2636,N8461	None	12.793	None	12.172
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	0.0	0.0	0.0	1.0	N2990,N6103,N9806,N943,N8963	None	14.724	None	13.621
labyrinth3	p(0,0);	0.0	1.0	0.0	0.0	N4822	None	9.909	None	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);	0.0	0.0	0.0	1.0	N4822,N1266	None	None	None	9.909
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.253968254	0.380952381	0.0	0.3650793651	N4822,N1266,N7328	10.818	10.091	None	9.909
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	0.8541666667	0.1041666667	0.0416666667	0.0	N4822,N1266,N7328,N5327	10.636	None	None	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	0.0	0.0	1.0	0.0	N4822,N1266,N7328,N5327,N1070	None	None	10.091	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	0.0	0.0	1.0	0.0	N4822,N1266,N7328,N2268	None	None	10.273	None
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	1.0	0.0	0.0	0.0	N4822,N1266,N7328,N2268,N6947	9.909	None	None	None
garden	p(0,0);	0.0	0.0	0.0	1.0	N9899	None	None	None	10.808
garden	p(0,0);p(0,1);p(0,2);	0.0	0.992	0.008	0.0	N9899,N388	None	10.808	None	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);	0.0	0.2983870968	0.25	0.4516129032	N9899,N388,N3462	None	12.269	11.115	10.808
