subject	world	squarepath	step	squaretype	rt	numopen	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd	action	existsL	existsR	existsU	existsD	blackremains
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);	6	N	785	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	7	D	726	3	0	0	2	3	2	1	0	0	U	TRUE	TRUE	TRUE	FALSE	2
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);	8	N	661	0	0	0	0	0	0	0	0	0	U	FALSE	FALSE	TRUE	TRUE	2
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	9	G	567	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S247056	courtyard	p(0,0);	0	X	1598	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S247056	courtyard	p(0,0);p(1,0);	1	N	248	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S247056	courtyard	p(0,0);p(1,0);p(2,0);	2	N	366	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S247056	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	503	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S247056	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	401	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S247056	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	730	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S248332	courtyard	p(0,0);	0	X	3891	0	0	0	0	0	0	0	0	0	D	FALSE	TRUE	FALSE	TRUE	0
S248332	courtyard	p(0,0);p(0,1);	1	N	494	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S248332	courtyard	p(0,0);p(0,1);p(0,2);	2	N	496	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
