subject	world	square_path	chosen_node_path	chosen_value	all_values
S680947	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S699104	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,2);	N6609,N2554,N6588,N7822	10.0	10.0;10.6;8.2
S701323	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S702215	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S717976	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S722906	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S723916	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S727474	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S737098	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S738760	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S748157	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S74893	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S75262	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S76694	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S767416	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S769114	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S771420	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S773407	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S776069	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S781012	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S78642	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
