hash	N	probL	probR	probU	probD	rt	rtL	rtR	rtU	rtD	world	actionstaken	square	existsL	existsR	existsU	existsD	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);	14	0	1	0	0	502	NA	502	NA	NA	library	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);	14	0	0.9285714286	0.0714285714	0	810	NA	870	409	NA	library	2	D	TRUE	TRUE	TRUE	TRUE	5	2	2	2	5	4	5	4
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);	13	0	0.9230769231	0	0.0769230769	459	NA	456	NA	1254	library	2	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	12	0	1	0	0	513	NA	513	NA	NA	library	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	12	0	0	0.5	0.5	1058.5	NA	NA	1184.5	1058.5	library	2	D	TRUE	FALSE	TRUE	TRUE	0	0	2	5	2	1	2	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);	6	0	0	1	0	550.5	NA	NA	550.5	NA	library	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	6	0	0.1666666667	0	0.8333333333	971	NA	537	NA	1128	library	2	O	FALSE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	6	0	1	0	0	717	NA	717	NA	NA	library	1	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);	16	0	0	1	0	387.5	NA	NA	387.5	NA	library	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	16	0	0	0	1	905	NA	NA	NA	905	library	1	O	FALSE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);	16	0	0	0	1	325	NA	NA	NA	325	library	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);	16	0	0	0	1	352.5	NA	NA	NA	352.5	library	1	N	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	16	0	0.9375	0	0.0625	577	NA	579	NA	232	library	2	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);	5	0	0	0	1	345	NA	NA	NA	345	library	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);	5	0	0	0	1	464	NA	NA	NA	464	library	1	N	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	5	0	1	0	0	864	NA	864	NA	NA	library	1	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	6	0	1	0	0	928.5	NA	928.5	NA	NA	library	1	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
cathedral p(0,0);	126	0	0	0	1	1638	NA	NA	NA	1638	cathedral	1	X	FALSE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);	126	0	0	0	1	454.5	NA	NA	NA	454.5	cathedral	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);	126	0	0.8968253968	0	0.1031746032	1414.5	NA	1440	NA	665	cathedral	2	D	FALSE	TRUE	TRUE	TRUE	4	2	0	0	0	0	4	3
cathedral p(0,0);p(0,1);p(0,2);p(1,2);	113	0	0.9911504425	0	0.0088495575	472	NA	471.5	NA	1895	cathedral	2	N	TRUE	TRUE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);	112	0	1	0	0	487	NA	487	NA	NA	cathedral	1	N	TRUE	TRUE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);	112	0	0.0357142857	0.8214285714	0.1428571429	1723	NA	1280.5	1641.5	2042	cathedral	3	D	TRUE	TRUE	TRUE	TRUE	4	4	4	4	4	1	4	2
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);	92	0	0	0.9782608696	0.0217391304	468.5	NA	NA	453.5	2063	cathedral	2	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);	90	0	0.5777777778	0	0.4222222222	1693	NA	1593	NA	1766.5	cathedral	2	D	TRUE	TRUE	FALSE	TRUE	1	2	0	0	0	0	4	4
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);	52	0.0192307692	0.9807692308	0	0	392.5	1486	388	NA	NA	cathedral	2	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);	51	0	1	0	0	414	NA	414	NA	NA	cathedral	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	51	0.9019607843	0	0	0.0980392157	1209	1268	NA	NA	544	cathedral	2	O	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);	46	1	0	0	0	360.5	360.5	NA	NA	NA	cathedral	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);	46	1	0	0	0	377.5	377.5	NA	NA	NA	cathedral	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);	46	0	0	0	1	403.5	NA	NA	NA	403.5	cathedral	1	N	TRUE	TRUE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);	46	0	0	0	1	422	NA	NA	NA	422	cathedral	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);	46	0	0	0	1	432.5	NA	NA	NA	432.5	cathedral	1	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);	46	0	0	0	1	508.5	NA	NA	NA	508.5	cathedral	1	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);	46	0	0	0	1	447.5	NA	NA	NA	447.5	cathedral	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	46	0.9565217391	0.0434782609	0	0	750.5	752.5	414	NA	NA	cathedral	2	G	TRUE	TRUE	TRUE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(0,3);	13	0	0.8461538462	0	0.1538461538	578	NA	578	NA	572.5	cathedral	2	N	FALSE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);	11	0	1	0	0	416	NA	416	NA	NA	cathedral	1	N	TRUE	TRUE	TRUE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);	11	0	1	0	0	512	NA	512	NA	NA	cathedral	1	N	TRUE	TRUE	TRUE	FALSE	0	0	0	0	0	0	0	0
