world	path	square	probL	probR	probU	probD	rtL	rtR	rtU	rtD	actionstaken	existsL	existsR	existsU	existsD
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	D	0.1486486486	0.8513513514	0	0	1560	1384	NA	NA	2	TRUE	TRUE	TRUE	FALSE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	D	0.0317460317	0	0	0.9682539683	2951.5	NA	NA	751	2	TRUE	FALSE	FALSE	TRUE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	D	0.1489361702	0.829787234	0.0212765957	0	994	1142	444	NA	3	TRUE	TRUE	TRUE	FALSE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);	D	0.0789473684	0	0	0.9210526316	2676	NA	NA	918	2	TRUE	FALSE	FALSE	TRUE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	D	0	0	0	1	NA	NA	NA	818	1	FALSE	TRUE	FALSE	TRUE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);	D	0	0	0	1	NA	NA	NA	954	1	FALSE	TRUE	FALSE	TRUE
labyrinth3	p(0,0);	X	0	1	0	0	NA	1449	NA	NA	1	FALSE	TRUE	FALSE	FALSE
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);	O	0	0	0	1	NA	NA	NA	821.5	1	TRUE	FALSE	FALSE	TRUE
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	D	0.253968254	0.380952381	0	0.3650793651	1280	1504	NA	1656.5	3	TRUE	TRUE	TRUE	TRUE
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	O	0.8541666667	0.1041666667	0.0416666667	0	1177	432	1157	NA	3	TRUE	TRUE	TRUE	FALSE
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	O	0	0	1	0	NA	NA	912	NA	1	TRUE	TRUE	TRUE	FALSE
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	O	0	0	1	0	NA	NA	1002	NA	1	TRUE	TRUE	TRUE	FALSE
labyrinth3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	O	1	0	0	0	1440	NA	NA	NA	1	TRUE	TRUE	TRUE	FALSE
garden	p(0,0);	X	0	0	0	1	NA	NA	NA	1414	1	FALSE	FALSE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);	O	0	0.992	0.008	0	NA	902.5	7	NA	2	FALSE	TRUE	TRUE	FALSE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);	D	0	0.2983870968	0.25	0.4516129032	NA	2120	1553	2175.5	3	TRUE	TRUE	TRUE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);	O	0.0350877193	0	0.9649122807	0	1179.5	NA	1015	NA	2	TRUE	TRUE	TRUE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	O	0	0.0277777778	0	0.9722222222	NA	856	NA	767	2	FALSE	TRUE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	D	0	0.3714285714	0	0.6285714286	NA	990	NA	746.5	2	TRUE	TRUE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	O	0	0	1	0	NA	NA	753.5	NA	1	FALSE	TRUE	TRUE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	D	0	0.5	0	0.5	NA	1197	NA	1088	2	TRUE	TRUE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	O	0	0	1	0	NA	NA	964	NA	1	FALSE	TRUE	TRUE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);	D	0	0.5833333333	0	0.4166666667	NA	999	NA	872	2	TRUE	TRUE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	O	0	0	0.8666666667	0.1333333333	NA	NA	1090	444	2	FALSE	TRUE	TRUE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);	O	0	0.0344827586	0	0.9655172414	NA	432	NA	963.5	2	FALSE	TRUE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	O	0	0	0.96	0.04	NA	NA	808	398	2	TRUE	TRUE	TRUE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	D	0	0.4166666667	0	0.5833333333	NA	1132	NA	812.5	2	TRUE	TRUE	FALSE	TRUE
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	O	0	0	1	0	NA	NA	796	NA	1	FALSE	TRUE	TRUE	TRUE
lab	p(0,0);	X	0	1	0	0	NA	1350	NA	NA	1	FALSE	TRUE	FALSE	FALSE
lab	p(0,0);p(1,0);p(2,0);	O	0	0	0	1	NA	NA	NA	842	1	TRUE	FALSE	FALSE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);	D	0.28	0.464	0.008	0.248	1352	1980.5	11	1489	4	TRUE	TRUE	TRUE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);	O	0.9322033898	0	0.0338983051	0.0338983051	1188	NA	1022	1411.5	3	TRUE	TRUE	TRUE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);	D	0	0.5666666667	0	0.4333333333	NA	1010	NA	688	2	FALSE	TRUE	TRUE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	D	0	0	0	1	NA	NA	NA	753	1	TRUE	FALSE	FALSE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);	O	0	0.0588235294	0.9411764706	0	NA	591	821.5	NA	2	FALSE	TRUE	TRUE	FALSE
