	world	node	child	value	prob	N	softmaxval	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
16	labyrinth3	N8899359	N7730376	14.545454000000001	0.253968254	126	0.2243599366	8.136	8.777	9.418	10.059	10.7	11.341	11.982	12.623	13.264	13.905
35	labyrinth3	N5316967	N8407469	16.571428	0.5974025974	77	0.36090730979999996	10.214	10.85	11.486	12.121	12.757	13.393	14.029	14.664	15.3	15.936
34	labyrinth3	N5316967	N4592326	14.857142999999999	0.4025974026	77	0.6390926902	12.357	12.607	12.857	13.107	13.357	13.607	13.857	14.107	14.357	14.607
15	labyrinth3	N8899359	N5316967	13.090910000000001	0.380952381	126	0.3643444175	8.364	8.836	9.309	9.782	10.255	10.727	11.2	11.673	12.145	12.618
9	library	N9553169	N6857034	12.066667	0.22222222219999999	126	0.4667159617	7.033	7.537	8.04	8.543	9.047	9.55	10.053	10.557	11.06	11.563
8	library	N9553169	N7453865	11.666667	0.7777777778	126	0.5332840382999999	6.267	6.807	7.347	7.887	8.427	8.967	9.507	10.047	10.587	11.127
81	library	N9747004	N1647237	24.0	0.0	37	0.1588691049	17.125	17.812	18.5	19.188	19.875	20.563	21.25	21.938	22.625	23.313
26	library	N6857034	N54623	16.454544	0.0079365079	126	0.287185951	9.182	9.909	10.636	11.364	12.091	12.818	13.545	14.273	15.0	15.727
80	library	N9747004	N8680754	19.0	1.0	37	0.8411308951	13.375	13.938	14.5	15.063	15.625	16.188	16.75	17.313	17.875	18.438
50	library	N2272684	N9747004	16.833332000000002	0.2936507937	126	0.41358855640000003	10.5	11.133	11.767	12.4	13.033	13.667	14.3	14.933	15.567	16.2
51	library	N2272684	N1620555	22.166666	0.0	126	0.0699019576	13.833	14.667	15.5	16.333	17.167	18.0	18.833	19.667	20.5	21.333
25	library	N6857034	N2272684	13.727272	0.9920634920999999	126	0.712814049	9.318	9.759	10.2	10.641	11.082	11.523	11.964	12.405	12.845	13.286
49	library	N2272684	N4522484	16.166666	0.7063492063	126	0.5165094861	10.0	10.617	11.233	11.85	12.467	13.083	13.7	14.317	14.933	15.55
117	museum	N4337909	N3311969	22.75	0.9142857143	35	0.6607563688	13.562	14.481	15.4	16.319	17.238	18.156	19.075	19.994	20.913	21.831
118	museum	N4337909	N4708138	24.75	0.0857142857	35	0.33924363119999995	17.875	18.562	19.25	19.938	20.625	21.313	22.0	22.688	23.375	24.063
137	museum	N8235434	N1421546	26.25	0.0	3	0.41742979350000003	19.125	19.838	20.55	21.263	21.975	22.688	23.4	24.113	24.825	25.538
57	museum	N8999294	N3878259	17.5	0.312	125	0.3736080706	10.179	10.911	11.643	12.375	13.107	13.839	14.571	15.304	16.036	16.768
98	museum	N3878259	N2766129	23.300001	0.026315789500000002	38	0.19056410699999998	15.25	16.055	16.86	17.665	18.47	19.275	20.08	20.885	21.69	22.495
97	museum	N3878259	N5843320	21.7	0.052631578899999996	38	0.3248366122	12.2	13.15	14.1	15.05	16.0	16.95	17.9	18.85	19.8	20.75
96	museum	N3878259	N4337909	20.5	0.9210526316	38	0.4845992808	11.4	12.31	13.22	14.13	15.04	15.95	16.86	17.77	18.68	19.59
56	museum	N8999294	N3583653	16.928572	0.68	125	0.4520005101	9.0	9.793	10.586	11.379	12.171	12.964	13.757	14.55	15.343	16.136
62	museum	N1035050	N9449477	17.8	0.0303030303	33	0.5443276477000001	11.1	11.77	12.44	13.11	13.78	14.45	15.12	15.79	16.46	17.13
63	museum	N1035050	N9773808	18.333332000000002	0.9696969697	33	0.45567235229999997	9.8	10.653	11.507	12.36	13.213	14.067	14.92	15.773	16.627	17.48
28	museum	N599523	N1035050	15.736841	0.264	125	0.3879020008	8.711	9.413	10.116	10.818	11.521	12.224	12.926	13.629	14.332	15.034
136	museum	N8235434	N9086861	25.25	1.0	3	0.5825702065	15.312	16.306	17.3	18.294	19.288	20.281	21.275	22.269	23.263	24.256
58	museum	N8999294	N7239905	19.785715	0.008	125	0.1743914192	11.607	12.425	13.243	14.061	14.879	15.696	16.514	17.332	18.15	18.968
27	museum	N599523	N8999294	14.368422	0.736	125	0.6120979992	8.132	8.755	9.379	10.003	10.626	11.25	11.874	12.497	13.121	13.745
48	roomG	N3886181	N1443972	17.615382999999998	0.2857142857	126	0.25262896879999996	9.692	10.485	11.277	12.069	12.862	13.654	14.446	15.238	16.031	16.823
47	roomG	N3886181	N5279315	17.307692000000003	0.0079365079	126	0.2799148788	11.846	12.392	12.938	13.485	14.031	14.577	15.123	15.669	16.215	16.762
46	roomG	N3886181	N413710	15.769232	0.7063492063	126	0.46745615240000005	9.577	10.196	10.815	11.435	12.054	12.673	13.292	13.912	14.531	15.15
77	roomG	N1443972	N2654501	18.727272	0.0833333333	36	0.4999240613	12.091	12.755	13.418	14.082	14.745	15.409	16.073	16.736	17.4	18.064
78	roomG	N1443972	N7117627	20.545454	0.0	36	0.27270634120000004	15.136	15.677	16.218	16.759	17.3	17.841	18.382	18.923	19.464	20.005
79	roomG	N1443972	N8317607	21.09091	0.9166666667	36	0.2273695975	11.136	12.132	13.127	14.123	15.118	16.114	17.109	18.105	19.1	20.095
23	roomG	N3215843	N9994126	13.3529415	0.5396825397	126	0.5777944333	8.412	8.906	9.4	9.894	10.388	10.882	11.376	11.871	12.365	12.859
